Driver,113.0, 1.48, 10.9, -1.3, 0.0, 2686.0
3 Wood,107.0, 1.48, 9.2, -2.9, 0.0, 3655.0
5 Wood,103.0, 1.47, 9.4, -3.3, 0.0, 4350.0
7 Wood,101.0, 1.46, 10.0, -3.4, 0.0, 4400.0
Hybrid,100.0, 1.46, 10.2, -3.5, 0.0, 4437.0
3 Iron,98.0, 1.45, 10.4, -3.1, 0.0, 4630.0
4 Iron,96.0, 1.43, 11.0, -3.4, 10.0, 4836.0
5 Iron,94.0, 1.41, 12.1, -3.7, 0.0, 5361.0
6 Iron,92.0, 1.38, 14.1, -4.1, 0.0, 6231.0
7 Iron,90.0, 1.33, 16.3, -4.3, 0.0, 7097.0
8 Iron,87.0, 1.32, 18.1, -4.5, 0.0, 7998.0
9 Iron,85.0, 1.28, 20.4, -4.7, 0.0, 8647.0
PW,83.0, 1.23, 24.2, -5.0, 2.0, 9304.0
